"year","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1880,-0.261806659739903,-0.236297960888713,-0.190090083910282,-0.271351789525257,-0.307991543458953,-0.233126733377865,-0.208515077052061,-0.305417122115206,-0.296790251010191,-0.274350538739267,-0.287495767729309,-0.152415789662974,-0.218977215704414,-0.259339716228443,-0.249999175962798,-0.24997048726751,-0.266379650737458,-0.182737778151373,-0.205574747063226,-0.200509675424922,-0.220856564244583,-0.19640510525481,-0.211011349723295,-0.210906290178695,-0.221659624514618,-0.301608623008322,-0.225575998033792,-0.230113209526142,-0.225251401807287,-0.297442514265311,-0.203694095933525,-0.249235207462251,-0.237481901463732,-0.240340939617501,-0.152793895863964,-0.283754895811052,-0.222501074251705,-0.242997383222797,-0.193668134210102,-0.205642481269009,-0.205462538947008,-0.235923911479012,-0.318522044050685,-0.274798048182524,-0.254779474624962,-0.220214144731405,-0.23814669986124,-0.292256389992423,-0.270752509207498,-0.224687111122657,-0.186140911705017,-0.252595924073569,-0.2700258617002,-0.187645106169184,-0.219566227447287,-0.203849291488423,-0.241353080690271,-0.203197600521797,-0.271841886677499,-0.270008688267727,-0.242224816157496,-0.198136105218588,-0.213094320525508,-0.292315052927325,-0.282414601465103,-0.277649895639512,-0.275525068265157,-0.2214396808842,-0.169345305037654,-0.24891292037397,-0.262252961623938,-0.25967602195913,-0.230711936425331,-0.176663132121424,-0.309945855814861,-0.160003440414394,-0.257385088564956,-0.258034622907201,-0.284205502185809,-0.243082147314928,-0.201691539628295,-0.226568703205589,-0.176812545989897,-0.256861137215881,-0.219622790443505,-0.223164247004598,-0.245229230949728,-0.24613285166338,-0.223471734891666,-0.275469784554442,-0.222721043182545,-0.221114000843839,-0.241163382119736,-0.204043325600832,-0.240153887793627,-0.280215063062391,-0.284051490769905,-0.303148397866909,-0.150556390024837,-0.237616211726653
1881,-0.156091298645705,-0.225638795578793,-0.149980077444941,-0.133391077663894,-0.148813367206748,-0.202253381785373,-0.149933524540136,-0.190112139389688,-0.155817243250079,-0.12316844631514,-0.226283999344458,-0.158564601255543,-0.175207739346226,-0.121584517498961,-0.181784714563053,-0.0987673196937145,-0.164944284082852,-0.193865744475898,-0.154118927693963,-0.147095755252535,-0.1769832844088,-0.157247054294204,-0.20262664106991,-0.15023013415707,-0.155505550322489,-0.202715893128408,-0.188747405135379,-0.160735436439717,-0.12227651203757,-0.178583543007186,-0.196366879107655,-0.194890420535945,-0.125580995398173,-0.13757222311412,-0.136468784391047,-0.165984555448456,-0.164495863770052,-0.140575461168687,-0.14172427330974,-0.159583153212261,-0.178204467008966,-0.152276920358861,-0.145464241033666,-0.173057634819341,-0.16928709642125,-0.186086261473609,-0.137955205038379,-0.155637132068959,-0.166487587943203,-0.184374131788731,-0.220350013327209,-0.161102206793238,-0.167502519821927,-0.158077609775249,-0.106291045693457,-0.155456754266644,-0.203591207463926,-0.167613375099449,-0.199599237126131,-0.198195897823479,-0.207544927665788,-0.121734117550185,-0.148959934223188,-0.15143403985068,-0.178596789761503,-0.156388247621582,-0.170074049503284,-0.167472400382452,-0.159423889167253,-0.122864358356378,-0.160373295114906,-0.167988460593398,-0.189452657461906,-0.166230515244282,-0.170805874192774,-0.127574354939455,-0.166867279446728,-0.168025280641609,-0.210570168374847,-0.126919803186367,-0.149293489307117,-0.204676711528404,-0.132076511575711,-0.166952278931959,-0.197071825883505,-0.194071546049995,-0.166668748588476,-0.174506872996548,-0.217886063820518,-0.172214377980721,-0.215652124518141,-0.192225210919052,-0.240996573885606,-0.12287567558539,-0.195795974208904,-0.243905378111531,-0.191525285531753,-0.189545624576834,-0.116293859466155,-0.123453425275428
1882,-0.152458651144311,-0.220504134927977,-0.270829224078029,-0.229871619381148,-0.193931023505391,-0.22085554713323,-0.189540090119476,-0.206528960270472,-0.204431479239573,-0.195975842689105,-0.262530588507922,-0.194871444665938,-0.250941507321021,-0.170235550461448,-0.16528082973924,-0.188105187534174,-0.205882224776661,-0.186629823308355,-0.21057014906106,-0.159638298289037,-0.221168098568965,-0.18750652780562,-0.19501451097498,-0.222543248072904,-0.133867097442821,-0.199484486372676,-0.184959735174199,-0.191558208646951,-0.184905938390428,-0.189262385429513,-0.16597016375645,-0.20447360128371,-0.208872659947598,-0.19217245343422,-0.209654078694959,-0.202303262819801,-0.195290421854223,-0.197397996483675,-0.157047769634655,-0.192215765954092,-0.224207288963467,-0.229757791008687,-0.179670437590526,-0.182088331438421,-0.221180155979933,-0.245403257046008,-0.210480100121913,-0.180867796863712,-0.200238289165148,-0.196921171289501,-0.263305070871165,-0.232339297632278,-0.215647945684103,-0.184287711361701,-0.206750416310956,-0.21209707157331,-0.170902308551589,-0.215610986822668,-0.229302365129733,-0.23465009451381,-0.22588111609145,-0.186302757145169,-0.22624127917229,-0.218397823935044,-0.251312920116209,-0.189100855710964,-0.174005756264177,-0.194494915333029,-0.188383289744435,-0.215579665985886,-0.169785878499637,-0.165699933188793,-0.172734627885938,-0.193823603489585,-0.157166621143359,-0.257481724954604,-0.219637121443509,-0.231837404391516,-0.231713021447683,-0.180679479861901,-0.192950387178022,-0.189373734998446,-0.147852587487914,-0.178406753926067,-0.267135457069632,-0.296936165878896,-0.162548216027322,-0.166303882423539,-0.223012766797092,-0.227117719040281,-0.197815488139204,-0.298954593616993,-0.18331534230529,-0.19203668007251,-0.178537154556294,-0.188422584049645,-0.201291558729806,-0.174895609799692,-0.196829862564782,-0.159071790081289
1883,-0.252513517042885,-0.240939983865353,-0.286654086953976,-0.216318178346258,-0.267912966927424,-0.282992767320987,-0.280908023881783,-0.271819570280492,-0.270994362242321,-0.289655636186161,-0.25667601889761,-0.249016977650194,-0.282336250448591,-0.229664440397291,-0.280432815143777,-0.238514426968855,-0.253767097324936,-0.20215716054085,-0.251457218972505,-0.254229848827267,-0.272311649271704,-0.266440845003425,-0.291165576441623,-0.20034114426122,-0.244370166200367,-0.276155212962718,-0.226675711793861,-0.256677001099434,-0.267071271439036,-0.253705508624212,-0.20286658207597,-0.303346116505738,-0.253260209766711,-0.313929418112103,-0.2454652119171,-0.238226419965857,-0.303694448488793,-0.203860273550684,-0.270639128234552,-0.20772845320209,-0.298918022186119,-0.30396574115385,-0.267998433904391,-0.286782301989354,-0.293012448947329,-0.26217298962519,-0.297439883181884,-0.324362941670176,-0.305539055878587,-0.270774253472325,-0.248855144450036,-0.2702218347569,-0.285754479583956,-0.25278189647488,-0.333407663842321,-0.284439193679205,-0.274870957890288,-0.229787386980789,-0.263724405787866,-0.291026210268558,-0.244715328924946,-0.24552198513852,-0.234798845474039,-0.32421248212751,-0.250819287220026,-0.263253740518805,-0.240046595231325,-0.264630795863242,-0.308762173303242,-0.256740597215738,-0.253174190821371,-0.205569965547807,-0.221559936114509,-0.234691087629188,-0.277144007221617,-0.262488277290188,-0.252272993552611,-0.278389133732301,-0.249387622935305,-0.255135209784009,-0.244629888758524,-0.256042216096283,-0.240078746545456,-0.263024272672361,-0.247077624697235,-0.273944120684288,-0.272437220759549,-0.21532662586868,-0.199712088926169,-0.28577389438403,-0.223617209143133,-0.222433071632303,-0.272234224337113,-0.265089290243157,-0.288086158888221,-0.221466061222942,-0.272922065608237,-0.283119784910884,-0.197192302542405,-0.30577203952774
1884,-0.418932442853561,-0.393256410648286,-0.403648215856112,-0.410427603736399,-0.36949186142018,-0.377060953074867,-0.394763274652105,-0.340042360414007,-0.387495823591361,-0.402842710631678,-0.369085090913205,-0.382709614334065,-0.346042411658975,-0.410923384206712,-0.363383930241826,-0.34006047301168,-0.387969744267279,-0.390676504357797,-0.382118757885267,-0.326520124705273,-0.385296510667975,-0.397527880121894,-0.319577087354753,-0.374986669226923,-0.419951937604348,-0.42388520575411,-0.347255917041507,-0.350746543578345,-0.356141623021433,-0.371361753871584,-0.432814476691608,-0.382577093435583,-0.36110076809253,-0.338688598242662,-0.43442145323937,-0.432584306699429,-0.416437671042814,-0.330163910331226,-0.454446419030153,-0.375806851982142,-0.359268726729,-0.412565647183068,-0.387516990067521,-0.413261949616242,-0.413563452533032,-0.418604503981231,-0.409008468317464,-0.39222431067382,-0.387367668396022,-0.369588001077727,-0.435965124435292,-0.38958571979711,-0.3826579998895,-0.418696068642348,-0.389458858848326,-0.415236231432176,-0.373995023119834,-0.371079596759649,-0.41726516911682,-0.401646945349603,-0.429426593165875,-0.363354882965038,-0.33026979516107,-0.397035295873746,-0.375664818034603,-0.428179377478981,-0.390649954281353,-0.395617416615874,-0.401427484014113,-0.454532471003649,-0.35890016648805,-0.365085091734356,-0.417627528778398,-0.388036128566456,-0.398229098602827,-0.452835280940984,-0.429304142181492,-0.400162552682911,-0.372150369245273,-0.386938966248012,-0.374390871593857,-0.391421844511716,-0.440806597203657,-0.349477682402091,-0.423568425164841,-0.388530153328648,-0.391232314685478,-0.354086080781254,-0.362560752359212,-0.372425296827475,-0.395645518616809,-0.407058357180558,-0.332706293001286,-0.398165625796479,-0.412574706956725,-0.347102915630451,-0.323989244122622,-0.352428925120734,-0.279004610593373,-0.420180823313503
1885,-0.41146251730774,-0.420176564912461,-0.416252779016533,-0.446668241563662,-0.378618139499612,-0.433433280355623,-0.405632448978614,-0.440377519652494,-0.458044838086609,-0.420215445473625,-0.383791522356578,-0.417397625991893,-0.459752967953882,-0.433817172703982,-0.425828615078832,-0.395241857372855,-0.407765515713568,-0.433285184031325,-0.406664501323012,-0.391308286224584,-0.37381229922664,-0.392873440820095,-0.409922949600767,-0.412148404721737,-0.433731913646597,-0.390214852226346,-0.394489798234419,-0.43436627323945,-0.373200953100079,-0.431334958991262,-0.422504092044461,-0.410788665357997,-0.366339809918739,-0.42108441357735,-0.419845565317778,-0.448362086135142,-0.385963849551018,-0.42013267753431,-0.41915338610133,-0.380757955342195,-0.338102974812476,-0.405052781116455,-0.39970479965528,-0.42847066167931,-0.431219269369557,-0.433984874654212,-0.446090756863487,-0.373163710388065,-0.416203907424551,-0.433406989510714,-0.342989280674963,-0.450598384859032,-0.46494829537562,-0.388427688641658,-0.372865730888876,-0.452479182188966,-0.424642040626578,-0.406344868427474,-0.436614620824398,-0.370586692640764,-0.458591289741787,-0.422786738015966,-0.456702163905091,-0.416063644395742,-0.413159754811277,-0.454288494577576,-0.39700257194029,-0.364367173753077,-0.407693975480343,-0.416119793794276,-0.415027314339096,-0.428560292967686,-0.425278738343183,-0.363917476652044,-0.390793250471079,-0.392281213072023,-0.441442209064529,-0.420712840990731,-0.46464336556937,-0.413460833900645,-0.381976226307612,-0.392942831295546,-0.436777335177864,-0.369538833085413,-0.43299132213053,-0.441927943434623,-0.380883540124582,-0.330005923155208,-0.427955548693908,-0.461696428374034,-0.419378803399669,-0.433780266051257,-0.382179678160658,-0.407094854023276,-0.38327327203877,-0.431128758074265,-0.394189747300469,-0.412207531887866,-0.335316443423761,-0.466191182791472
1886,-0.447584409701367,-0.387966471738923,-0.426130157164495,-0.399679775425495,-0.438431906813665,-0.454613598913935,-0.448792441555236,-0.454577150170749,-0.41507573746404,-0.39799194391597,-0.430203602483064,-0.440823085857341,-0.334745467338248,-0.373337927398684,-0.371271567289561,-0.425350159331367,-0.369836894420833,-0.424825780904665,-0.438939155316181,-0.379922876491472,-0.445714225546664,-0.452797939929788,-0.402418131648015,-0.373282276896836,-0.473394947379604,-0.470182019910336,-0.400488053470334,-0.444294865881961,-0.444449426342292,-0.399328591365951,-0.397834248656936,-0.380791954015366,-0.384540227174997,-0.449331496107977,-0.362510127531765,-0.39731519860347,-0.407647985083455,-0.415477804792556,-0.46929732018874,-0.397447803556862,-0.451515552400183,-0.341923699970025,-0.366478988634727,-0.424823636963642,-0.409209136596409,-0.457110226338549,-0.435309652592316,-0.41169377936108,-0.406091340498363,-0.44640111049081,-0.396213010907467,-0.436819114837635,-0.442537908416046,-0.371184822368694,-0.396651505383315,-0.411563998460729,-0.432728129448783,-0.39662121319566,-0.376215060156461,-0.460731806713641,-0.40538951551472,-0.373315281530858,-0.40608427981708,-0.419604154371747,-0.47143341602821,-0.41957036213499,-0.441238013095073,-0.432322448157267,-0.430806387280801,-0.441140520897541,-0.436389587113957,-0.405572597096115,-0.425897138593342,-0.407255746124017,-0.389372016467384,-0.392959276529985,-0.394212324828014,-0.520759189817158,-0.434674463687709,-0.4181602398706,-0.399408387779374,-0.380000153307038,-0.412455979218785,-0.479762996145806,-0.413125064014714,-0.401152387894981,-0.353988085393797,-0.376075436600586,-0.447787472092779,-0.428734852842662,-0.450109377391982,-0.430996695347534,-0.390397451204041,-0.387162442284146,-0.477980732471354,-0.469153430373535,-0.40886563847063,-0.366763099126778,-0.445993927270115,-0.383430996718611
1887,-0.49071531129527,-0.387379998853503,-0.423194162915919,-0.454091776941998,-0.447787338646372,-0.391229515101289,-0.482587411493442,-0.547942645758343,-0.481450084536539,-0.472990774972626,-0.447977328975545,-0.462106717178513,-0.479495286411555,-0.423125930849195,-0.400069834132407,-0.436981345247318,-0.467630346331334,-0.384283298190696,-0.406210170384171,-0.427384760154004,-0.427286469171119,-0.393121259209821,-0.450215525630173,-0.442109173314808,-0.472363781127395,-0.49489114407308,-0.501075241181661,-0.42799063140056,-0.473669779341496,-0.440414394266155,-0.415787430459381,-0.388409606886193,-0.412747988072996,-0.438158612601326,-0.40936282666615,-0.45376274433443,-0.442560747409576,-0.420860443797465,-0.406346128183764,-0.424268787289287,-0.434661715715259,-0.381198167359179,-0.450882359168169,-0.402805835971163,-0.44520924386529,-0.423163915324075,-0.506150437994516,-0.454967487177449,-0.511752231905855,-0.40256100517216,-0.450185713235953,-0.409800987198015,-0.481375916732544,-0.510703580470715,-0.427713394909691,-0.481519047232856,-0.469770504401525,-0.433941848197287,-0.480850274339883,-0.412078309042462,-0.520164736954164,-0.411737004333777,-0.425962175937589,-0.477482537309437,-0.462583908345819,-0.456912853585319,-0.444175625060792,-0.419678448374682,-0.473070445156798,-0.493950266817231,-0.498720865591673,-0.42171318973379,-0.468076293582798,-0.412661010829155,-0.462244139964568,-0.385296925374534,-0.49011276808084,-0.397944238590482,-0.491066538333657,-0.476581414128946,-0.39514714015491,-0.465839711718602,-0.419898872367939,-0.458282225374532,-0.44430906316336,-0.4316190799872,-0.42713557784296,-0.357642025206047,-0.430903612172995,-0.425211367033282,-0.400518366083802,-0.494525055901205,-0.430272287654166,-0.406923428231065,-0.429745570076965,-0.40013676909257,-0.438786902603488,-0.452716219772497,-0.424636199821804,-0.514276278225836
1888,-0.322276420722116,-0.263480190131412,-0.306491588650302,-0.294237707280064,-0.169322738210186,-0.220164068819633,-0.252945852517918,-0.319612804012325,-0.229532226105026,-0.2537542895627,-0.242471157834985,-0.270178564043157,-0.252443717420412,-0.237847713832035,-0.233115799079715,-0.273886014076838,-0.245415031110547,-0.278061959280357,-0.320351820642985,-0.298568695076654,-0.291854763878148,-0.290942358673133,-0.289684589504655,-0.283882142686202,-0.321001458308032,-0.278235371202283,-0.29940692082223,-0.250273248988444,-0.275169779001255,-0.25887481684032,-0.362512991783417,-0.28352651720326,-0.272692621697161,-0.305309802109113,-0.246798749193143,-0.290146697426558,-0.28088587516154,-0.259173228898236,-0.275492864771383,-0.235904615124477,-0.296371561878269,-0.324019187757807,-0.277683304728925,-0.262076638182126,-0.275894858612258,-0.278600357888929,-0.240690534981701,-0.293281438156028,-0.240834028795918,-0.298921100340064,-0.263124208145517,-0.258438727810291,-0.261689041344792,-0.296523192988949,-0.287184733464687,-0.270081341977711,-0.267375743970048,-0.297114823441248,-0.273452572722122,-0.268923569031482,-0.324039713058182,-0.273191369121137,-0.268608053370164,-0.250571302430812,-0.275511928541478,-0.251100685328729,-0.277089339047605,-0.22004589063775,-0.278943801147627,-0.2869736258322,-0.309149361254733,-0.299999036497986,-0.202709853354675,-0.329773510249655,-0.28430303005722,-0.238542991385579,-0.311831280984088,-0.344228308515388,-0.267975262453458,-0.244116489058332,-0.291523329076533,-0.288952773528148,-0.278743025545208,-0.328526482310294,-0.236450230610837,-0.251214190385127,-0.292183919703874,-0.253854571136049,-0.267276904809667,-0.262842132520449,-0.300522506491288,-0.315634854141282,-0.278207973728762,-0.249637602227891,-0.273156536743066,-0.273651281349845,-0.319299631283256,-0.300191446282688,-0.291687501185803,-0.248705406125329
1889,-0.159919468524916,-0.164754584778608,-0.18350435610265,-0.185010802109269,-0.176656612899078,-0.200044763982796,-0.220019216172316,-0.194749456218202,-0.164474518610334,-0.162323086787957,-0.21961122343296,-0.152151351207592,-0.142207269457677,-0.176193301209182,-0.178276263799399,-0.19853042542903,-0.211596707789524,-0.203752639477815,-0.255562354085756,-0.148104404686546,-0.214147734479719,-0.166329012816494,-0.207313821173523,-0.179411467691088,-0.139534606346133,-0.235771347177658,-0.16941372106082,-0.208977737945289,-0.174903386669234,-0.230999671697592,-0.184448881074567,-0.168441727518904,-0.15366479907198,-0.201904814495328,-0.203349583917397,-0.149147168934657,-0.164401221357889,-0.214613784459717,-0.217554085473361,-0.210877988146245,-0.176038129408769,-0.222406049760512,-0.239208638744002,-0.160772362996698,-0.236018359322154,-0.212240458019561,-0.15425032673943,-0.200622623618462,-0.174249090198891,-0.194547522952494,-0.151287249995036,-0.225321080076629,-0.162563348906986,-0.202573536619149,-0.175806857727265,-0.207534483200195,-0.211954884371279,-0.216262093623152,-0.150319906065381,-0.197295233790094,-0.19805748073889,-0.185239874051769,-0.199470787721554,-0.162356209026333,-0.189089073692528,-0.170346126735801,-0.225737552051735,-0.148450222450186,-0.174312934107815,-0.256864785596682,-0.169433559427753,-0.210102840099074,-0.191445238268769,-0.161299017537044,-0.221918854713703,-0.241945176081733,-0.171742533632977,-0.230961849068269,-0.16806274890303,-0.197222814432433,-0.174516060077712,-0.104968379477833,-0.157761779600021,-0.18158048423017,-0.181798844092352,-0.141449929247154,-0.199257399560934,-0.202045538761895,-0.164888869739904,-0.193998545866241,-0.216353321936025,-0.210621864796594,-0.188791418896113,-0.209718799599695,-0.150576214538336,-0.195986344341269,-0.16576383087218,-0.175413546664251,-0.199380173842177,-0.200257673021776
1890,-0.469092202875867,-0.356885724203275,-0.410787686457959,-0.363198030056574,-0.388996799196014,-0.40789440066296,-0.389095490216342,-0.404367444725866,-0.401610922313624,-0.408706514479916,-0.353688789706853,-0.438333961007887,-0.359199098929478,-0.423083495033774,-0.43198501915558,-0.401850950445125,-0.40121229273425,-0.394548553942132,-0.426675631328064,-0.441790370166057,-0.443181764164887,-0.426177377445243,-0.41188075926874,-0.369402764782265,-0.402571099375046,-0.417626879942067,-0.376549942414013,-0.384537140042514,-0.377429301360057,-0.400786414905925,-0.396345495802221,-0.394776867445464,-0.402260839299725,-0.389637973873249,-0.384330703615826,-0.384268365646572,-0.460746780541311,-0.369622005091119,-0.450606180269737,-0.40840135245789,-0.410300357747166,-0.36945171619555,-0.392955287193531,-0.37684075768401,-0.399994444292618,-0.394870243179486,-0.416129081545001,-0.406352646224109,-0.37972243669956,-0.327955834891094,-0.365706092839647,-0.41289571307641,-0.438936679047043,-0.386023009792134,-0.385113953186982,-0.408881982481285,-0.372980663616665,-0.422876344421112,-0.383874612504601,-0.446444494757512,-0.372810626613274,-0.415475037684035,-0.466484580507342,-0.398844538651568,-0.437102318176681,-0.456072689026769,-0.413753755420073,-0.405532572454357,-0.38089498354464,-0.391322149225617,-0.442230878376045,-0.409856221285134,-0.378034052871211,-0.394741067715201,-0.415062891147483,-0.320154215108929,-0.446651901989305,-0.382389730277249,-0.376145103694291,-0.424745262380381,-0.321716824740426,-0.391485092499281,-0.406783211364594,-0.415846750819415,-0.400618308686175,-0.375758269141705,-0.338332965052234,-0.351023956041769,-0.440914559109662,-0.422295786316101,-0.37833488541916,-0.447132248251155,-0.316412948129997,-0.471163505522743,-0.452235139239368,-0.415055526907729,-0.419446444082664,-0.362151222869126,-0.399133719826548,-0.489127700511632
