"year","post.mean","post.SD","post.025","post.975"
1880,-0.239335004973733,0.037089608285208,-0.31203971188632,-0.166740591825682
1881,-0.163216559900835,0.0346871768050266,-0.231746944596673,-0.0963017793515538
1882,-0.202965096326322,0.033585032258004,-0.269042445775518,-0.136935667451013
1883,-0.265926147312583,0.0325042586760752,-0.329954017852817,-0.202747374028519
1884,-0.390819802563463,0.0332063410112021,-0.455314390779045,-0.325485640443043
1885,-0.412984888477271,0.0333333469382521,-0.477281072461153,-0.346885394069048
1886,-0.42130908867714,0.0327133237114025,-0.485096177932336,-0.357159432580809
1887,-0.439309143901805,0.0331220733235597,-0.504028102127615,-0.374401762629392
1888,-0.270665038341046,0.0323971108100033,-0.334432787271307,-0.207452040219903
1889,-0.191345483562305,0.0314638678385057,-0.252671526568769,-0.129803785613108
1890,-0.402418359764972,0.0324410207250406,-0.466222856421639,-0.338248982112536
1891,-0.311865070575278,0.02246691852321,-0.355782790932675,-0.267838568916594
1892,-0.373403765202187,0.0226292670030103,-0.4177330280097,-0.32837276239385
1893,-0.400496578788737,0.0225770069618628,-0.444234129377054,-0.355146123956315
1894,-0.370800743113838,0.0222212903725567,-0.414096206369433,-0.327328092279207
1895,-0.303686449358006,0.0224511693667558,-0.347329074807557,-0.259222087439943
1896,-0.172010847796869,0.0221512057205274,-0.215575046626637,-0.128891949531693
1897,-0.173570406641423,0.0218999980268825,-0.216378628719852,-0.130455754602893
1898,-0.336913024858736,0.022092791837912,-0.380531830534491,-0.293179720101089
1899,-0.233309434154735,0.0219893500561175,-0.276686013112128,-0.190359613940682
1900,-0.140356883236214,0.0216925805873599,-0.183553539258179,-0.0978049207172644
1901,-0.212078300475349,0.0216470071650035,-0.254553724174178,-0.169521773083016
1902,-0.340376679202034,0.0217736997674055,-0.382792052169776,-0.2970746451408
1903,-0.42674129619142,0.0215612525747646,-0.468750790244664,-0.384194701706775
1904,-0.484320719003589,0.0216376338472441,-0.526650150606533,-0.441591429630375
1905,-0.328837667401959,0.0213482557898384,-0.370767404569413,-0.286741356570666
1906,-0.272817801568942,0.0212178516792455,-0.314647433887049,-0.231383308350007
1907,-0.427449657413073,0.0212560954801316,-0.468891253460752,-0.384876073456427
1908,-0.464493737506674,0.0212572648224794,-0.505807816993844,-0.422401204510892
1909,-0.501356808464732,0.0210313280468742,-0.542767218848825,-0.459902223266055
1910,-0.468021943541321,0.0209824842432645,-0.508834760103985,-0.426470060085574
1911,-0.474131471991085,0.0211173863414141,-0.515176661428639,-0.43232080963757
1912,-0.411486551856177,0.0210198066459931,-0.453030785721459,-0.370134331454605
1913,-0.381388008284212,0.0212210201026794,-0.423113920128985,-0.339850403376504
1914,-0.208212749226434,0.0211982442603396,-0.249715390749721,-0.16638529144674
1915,-0.176476139234367,0.0214466869582219,-0.218948483002774,-0.134901524673219
1916,-0.393280040360748,0.0216691298119964,-0.436120406364923,-0.3508321587846
